date,store_id,store_name,city,product_id,product_name,category,shelf_life_days,quantity_on_hand,days_until_expiry,freshness_score,at_risk_cost,at_risk_co2_kg,risk_level
2025-12-21,9,Seaside Market,Harbor Town,66,Turkey Breast 500g,Meat,3,14.1,0,0.0,56.4,77.55,critical
2025-12-03,1,FreshMart Downtown,Metro City,71,Shrimp 500g,Seafood,2,9.3,0,0.0,55.8,167.4,critical
2025-12-30,5,FreshMart Valley,Green Valley,71,Shrimp 500g,Seafood,2,9.3,0,0.0,55.8,167.4,critical
2025-12-15,8,Harbor Fresh,Harbor Town,55,Eggs - Dozen,Dairy,21,27.7,0,0.0,55.4,132.96,critical
2025-12-03,10,Dock Street Grocery,Harbor Town,55,Eggs - Dozen,Dairy,21,27.6,0,0.0,55.2,132.48,critical
2025-12-21,5,FreshMart Valley,Green Valley,70,Salmon Fillet 300g,Seafood,2,11.0,0,0.0,55.0,130.9,critical
2025-12-31,9,Seaside Market,Harbor Town,46,Whole Milk 1L,Dairy,7,54.9,0,0.0,54.9,175.68,critical
2025-12-10,9,Seaside Market,Harbor Town,61,Beef Steak 300g,Meat,3,9.1,0,0.0,54.6,245.7,critical
2025-12-18,1,FreshMart Downtown,Metro City,70,Salmon Fillet 300g,Seafood,2,10.9,0,0.0,54.5,129.71,critical
2025-12-02,9,Seaside Market,Harbor Town,71,Shrimp 500g,Seafood,2,9.0,0,0.0,54.0,162.0,critical
2025-12-07,8,Harbor Fresh,Harbor Town,64,Bacon 250g,Meat,7,15.4,0,0.0,53.9,186.34,critical
2025-12-01,2,FreshMart Uptown,Metro City,70,Salmon Fillet 300g,Seafood,2,10.7,0,0.0,53.5,127.33,critical
2025-12-06,8,Harbor Fresh,Harbor Town,94,Coffee Beans 500g,Beverages,180,10.7,0,0.0,53.5,85.6,critical
2025-12-19,2,FreshMart Uptown,Metro City,70,Salmon Fillet 300g,Seafood,2,10.7,0,0.0,53.5,127.33,critical
2025-12-08,4,SuperSave East,Metro City,59,Chicken Thighs 500g,Meat,3,19.1,0,0.0,53.48,131.79,critical
2025-12-17,5,FreshMart Valley,Green Valley,71,Shrimp 500g,Seafood,2,8.9,0,0.0,53.4,160.2,critical
2025-12-20,7,Valley Organics,Green Valley,64,Bacon 250g,Meat,7,15.2,0,0.0,53.2,183.92,critical
2025-12-19,7,Valley Organics,Green Valley,46,Whole Milk 1L,Dairy,7,52.9,0,0.0,52.9,169.28,critical
2025-12-08,5,FreshMart Valley,Green Valley,137,Salad Mix 300g,Deli,5,26.4,0,0.0,52.8,13.2,critical
2025-12-09,4,SuperSave East,Metro City,139,Rotisserie Chicken,Deli,3,13.2,0,0.0,52.8,91.08,critical
2025-12-22,4,SuperSave East,Metro City,73,Tuna Steak 300g,Seafood,2,9.6,0,0.0,52.8,58.56,critical
2025-12-27,9,Seaside Market,Harbor Town,72,Cod Fillet 300g,Seafood,2,13.2,0,0.0,52.8,71.28,critical
2025-12-16,6,Nature's Best,Green Valley,65,Sausages 500g,Meat,7,21.0,0,0.0,52.5,168.0,critical
2025-12-27,6,Nature's Best,Green Valley,59,Chicken Thighs 500g,Meat,3,18.7,0,0.0,52.36,129.03,critical
2025-12-18,6,Nature's Best,Green Valley,70,Salmon Fillet 300g,Seafood,2,10.4,0,0.0,52.0,123.76,critical
2025-12-27,2,FreshMart Uptown,Metro City,77,White Bread Loaf,Bakery,5,51.6,0,0.0,51.6,41.28,critical
2025-12-04,10,Dock Street Grocery,Harbor Town,59,Chicken Thighs 500g,Meat,3,18.4,0,0.0,51.52,126.96,critical
2025-12-07,1,FreshMart Downtown,Metro City,78,Whole Wheat Bread,Bakery,5,42.8,0,0.0,51.36,29.96,critical
2025-12-14,4,SuperSave East,Metro City,66,Turkey Breast 500g,Meat,3,12.8,0,0.0,51.2,70.4,critical
2025-12-18,6,Nature's Best,Green Valley,55,Eggs - Dozen,Dairy,21,25.6,0,0.0,51.2,122.88,critical
2025-12-28,2,FreshMart Uptown,Metro City,71,Shrimp 500g,Seafood,2,8.5,0,0.0,51.0,153.0,critical
2025-12-25,3,GreenGrocer Central,Metro City,79,Sourdough Bread,Bakery,5,25.4,0,0.0,50.8,15.24,critical
2025-12-07,4,SuperSave East,Metro City,20,Raspberries,Fruits,4,14.5,0,0.0,50.75,14.5,critical
2025-12-31,9,Seaside Market,Harbor Town,59,Chicken Thighs 500g,Meat,3,18.1,0,0.0,50.68,124.89,critical
2025-12-26,2,FreshMart Uptown,Metro City,67,Lamb Chops 500g,Meat,3,7.2,0,0.0,50.4,282.24,critical
2025-12-26,4,SuperSave East,Metro City,34,Mushrooms,Vegetables,5,25.2,0,0.0,50.4,15.12,critical
2025-12-26,5,FreshMart Valley,Green Valley,49,Mozzarella 200g,Dairy,14,25.0,0,0.0,50.0,175.0,critical
2025-12-20,4,SuperSave East,Metro City,81,Bagels 6pk,Bakery,5,24.8,0,0.0,49.6,22.32,critical
2025-12-27,10,Dock Street Grocery,Harbor Town,139,Rotisserie Chicken,Deli,3,12.4,0,0.0,49.6,85.56,critical
2025-12-07,4,SuperSave East,Metro City,78,Whole Wheat Bread,Bakery,5,41.0,0,0.0,49.2,28.7,critical
2025-12-15,6,Nature's Best,Green Valley,60,Ground Beef 500g,Meat,3,12.3,0,0.0,49.2,332.1,critical
2025-12-01,8,Harbor Fresh,Harbor Town,59,Chicken Thighs 500g,Meat,3,17.5,0,0.0,49.0,120.75,critical
2025-12-17,8,Harbor Fresh,Harbor Town,94,Coffee Beans 500g,Beverages,180,9.8,0,0.0,49.0,78.4,critical
2025-12-20,10,Dock Street Grocery,Harbor Town,85,Donuts 6pk,Bakery,2,19.6,0,0.0,49.0,23.52,critical
2025-12-17,4,SuperSave East,Metro City,137,Salad Mix 300g,Deli,5,24.4,0,0.0,48.8,12.2,critical
2025-12-23,9,Seaside Market,Harbor Town,59,Chicken Thighs 500g,Meat,3,17.4,0,0.0,48.72,120.06,critical
2025-12-04,7,Valley Organics,Green Valley,71,Shrimp 500g,Seafood,2,8.1,0,0.0,48.6,145.8,critical
2025-12-24,5,FreshMart Valley,Green Valley,78,Whole Wheat Bread,Bakery,5,40.5,0,0.0,48.6,28.35,critical
2025-12-28,5,FreshMart Valley,Green Valley,62,Pork Chops 500g,Meat,3,16.2,0,0.0,48.6,196.02,critical
2025-12-05,4,SuperSave East,Metro City,137,Salad Mix 300g,Deli,5,24.2,0,0.0,48.4,12.1,critical
2025-12-24,1,FreshMart Downtown,Metro City,21,Tomatoes,Vegetables,10,48.4,0,0.0,48.4,67.76,critical
2025-12-09,9,Seaside Market,Harbor Town,79,Sourdough Bread,Bakery,5,24.0,0,0.0,48.0,14.4,critical
2025-12-10,7,Valley Organics,Green Valley,70,Salmon Fillet 300g,Seafood,2,9.6,0,0.0,48.0,114.24,critical
2025-12-14,3,GreenGrocer Central,Metro City,71,Shrimp 500g,Seafood,2,8.0,0,0.0,48.0,144.0,critical
2025-12-13,9,Seaside Market,Harbor Town,73,Tuna Steak 300g,Seafood,2,8.7,0,0.0,47.85,53.07,critical
2025-12-05,2,FreshMart Uptown,Metro City,77,White Bread Loaf,Bakery,5,47.7,0,0.0,47.7,38.16,critical
2025-12-12,4,SuperSave East,Metro City,68,Ham Sliced 200g,Meat,10,23.8,0,0.0,47.6,190.4,critical
2025-12-23,1,FreshMart Downtown,Metro City,70,Salmon Fillet 300g,Seafood,2,9.5,0,0.0,47.5,113.05,critical
2025-12-07,5,FreshMart Valley,Green Valley,61,Beef Steak 300g,Meat,3,7.9,0,0.0,47.4,213.3,critical
2025-12-09,10,Dock Street Grocery,Harbor Town,137,Salad Mix 300g,Deli,5,23.7,0,0.0,47.4,11.85,critical
2025-12-20,8,Harbor Fresh,Harbor Town,137,Salad Mix 300g,Deli,5,23.7,0,0.0,47.4,11.85,critical
2025-12-01,4,SuperSave East,Metro City,137,Salad Mix 300g,Deli,5,23.6,0,0.0,47.2,11.8,critical
2025-12-09,8,Harbor Fresh,Harbor Town,60,Ground Beef 500g,Meat,3,11.8,0,0.0,47.2,318.6,critical
2025-12-12,5,FreshMart Valley,Green Valley,119,Frozen Pizza,Frozen,180,15.7,0,0.0,47.1,39.25,critical
2025-12-07,6,Nature's Best,Green Valley,63,Ground Pork 500g,Meat,3,16.8,0,0.0,47.04,203.28,critical
2025-12-20,5,FreshMart Valley,Green Valley,67,Lamb Chops 500g,Meat,3,6.7,0,0.0,46.9,262.64,critical
2025-12-06,4,SuperSave East,Metro City,66,Turkey Breast 500g,Meat,3,11.7,0,0.0,46.8,64.35,critical
2025-12-19,3,GreenGrocer Central,Metro City,59,Chicken Thighs 500g,Meat,3,16.7,0,0.0,46.76,115.23,critical
2025-12-11,5,FreshMart Valley,Green Valley,137,Salad Mix 300g,Deli,5,23.2,0,0.0,46.4,11.6,critical
2025-12-02,5,FreshMart Valley,Green Valley,73,Tuna Steak 300g,Seafood,2,8.4,0,0.0,46.2,51.24,critical
2025-12-20,4,SuperSave East,Metro City,86,Cake - Chocolate,Bakery,5,9.2,0,0.0,46.0,18.4,critical
2025-12-27,2,FreshMart Uptown,Metro City,62,Pork Chops 500g,Meat,3,15.3,0,0.0,45.9,185.13,critical
2025-12-06,4,SuperSave East,Metro City,64,Bacon 250g,Meat,7,13.1,0,0.0,45.85,158.51,critical
2025-12-05,3,GreenGrocer Central,Metro City,46,Whole Milk 1L,Dairy,7,45.7,0,0.0,45.7,146.24,critical
2025-12-13,4,SuperSave East,Metro City,73,Tuna Steak 300g,Seafood,2,8.3,0,0.0,45.65,50.63,critical
2025-12-01,10,Dock Street Grocery,Harbor Town,71,Shrimp 500g,Seafood,2,7.6,0,0.0,45.6,136.8,critical
2025-12-17,3,GreenGrocer Central,Metro City,78,Whole Wheat Bread,Bakery,5,38.0,0,0.0,45.6,26.6,critical
2025-12-25,1,FreshMart Downtown,Metro City,62,Pork Chops 500g,Meat,3,15.2,0,0.0,45.6,183.92,critical
2025-12-26,10,Dock Street Grocery,Harbor Town,71,Shrimp 500g,Seafood,2,7.6,0,0.0,45.6,136.8,critical
2025-12-27,8,Harbor Fresh,Harbor Town,7,Grapes - Red,Fruits,10,22.8,0,0.0,45.6,15.96,critical
2025-12-05,1,FreshMart Downtown,Metro City,12,Avocados,Fruits,5,30.3,0,0.0,45.45,75.75,critical
2025-12-04,1,FreshMart Downtown,Metro City,63,Ground Pork 500g,Meat,3,16.2,0,0.0,45.36,196.02,critical
2025-12-25,4,SuperSave East,Metro City,71,Shrimp 500g,Seafood,2,7.5,0,0.0,45.0,135.0,critical
2025-12-25,4,SuperSave East,Metro City,47,Skim Milk 1L,Dairy,7,49.8,0,0.0,44.82,139.44,critical
2025-12-14,10,Dock Street Grocery,Harbor Town,67,Lamb Chops 500g,Meat,3,6.4,0,0.0,44.8,250.88,critical
2025-12-22,8,Harbor Fresh,Harbor Town,67,Lamb Chops 500g,Meat,3,6.4,0,0.0,44.8,250.88,critical
2025-12-14,10,Dock Street Grocery,Harbor Town,5,Strawberries,Fruits,5,17.9,0,0.0,44.75,19.69,critical
2025-12-07,1,FreshMart Downtown,Metro City,25,Broccoli,Vegetables,7,29.8,0,0.0,44.7,26.82,critical
2025-12-23,3,GreenGrocer Central,Metro City,70,Salmon Fillet 300g,Seafood,2,8.9,0,0.0,44.5,105.91,critical
2025-12-25,3,GreenGrocer Central,Metro City,87,Orange Juice 1L,Beverages,10,29.6,0,0.0,44.4,20.72,critical
2025-12-12,1,FreshMart Downtown,Metro City,5,Strawberries,Fruits,5,17.7,0,0.0,44.25,19.47,critical
2025-12-09,5,FreshMart Valley,Green Valley,67,Lamb Chops 500g,Meat,3,6.3,0,0.0,44.1,246.96,critical
2025-12-26,6,Nature's Best,Green Valley,66,Turkey Breast 500g,Meat,3,11.0,0,0.0,44.0,60.5,critical
2025-12-25,1,FreshMart Downtown,Metro City,71,Shrimp 500g,Seafood,2,7.3,0,0.0,43.8,131.4,critical
2025-12-19,6,Nature's Best,Green Valley,65,Sausages 500g,Meat,7,17.5,0,0.0,43.75,140.0,critical
2025-12-03,10,Dock Street Grocery,Harbor Town,137,Salad Mix 300g,Deli,5,21.8,0,0.0,43.6,10.9,critical
2025-12-19,1,FreshMart Downtown,Metro City,79,Sourdough Bread,Bakery,5,21.8,0,0.0,43.6,13.08,critical
2025-12-26,3,GreenGrocer Central,Metro City,139,Rotisserie Chicken,Deli,3,10.9,0,0.0,43.6,75.21,critical
2025-12-02,9,Seaside Market,Harbor Town,62,Pork Chops 500g,Meat,3,14.5,0,0.0,43.5,175.45,critical
2025-12-15,2,FreshMart Uptown,Metro City,67,Lamb Chops 500g,Meat,3,6.2,0,0.0,43.4,243.04,critical
2025-12-26,7,Valley Organics,Green Valley,67,Lamb Chops 500g,Meat,3,6.2,0,0.0,43.4,243.04,critical
2025-12-25,2,FreshMart Uptown,Metro City,87,Orange Juice 1L,Beverages,10,28.9,0,0.0,43.35,20.23,critical
2025-12-04,1,FreshMart Downtown,Metro City,5,Strawberries,Fruits,5,17.3,0,0.0,43.25,19.03,critical
2025-12-04,6,Nature's Best,Green Valley,66,Turkey Breast 500g,Meat,3,10.8,0,0.0,43.2,59.4,critical
2025-12-14,8,Harbor Fresh,Harbor Town,71,Shrimp 500g,Seafood,2,7.2,0,0.0,43.2,129.6,critical
2025-12-14,9,Seaside Market,Harbor Town,139,Rotisserie Chicken,Deli,3,10.8,0,0.0,43.2,74.52,critical
2025-12-24,1,FreshMart Downtown,Metro City,71,Shrimp 500g,Seafood,2,7.2,0,0.0,43.2,129.6,critical
2025-12-29,7,Valley Organics,Green Valley,71,Shrimp 500g,Seafood,2,7.2,0,0.0,43.2,129.6,critical
2025-12-08,8,Harbor Fresh,Harbor Town,59,Chicken Thighs 500g,Meat,3,15.4,0,0.0,43.12,106.26,critical
2025-12-18,8,Harbor Fresh,Harbor Town,27,Spinach,Vegetables,5,35.9,0,0.0,43.08,21.54,critical
2025-12-18,7,Valley Organics,Green Valley,64,Bacon 250g,Meat,7,12.3,0,0.0,43.05,148.83,critical
2025-12-03,4,SuperSave East,Metro City,80,Croissants 4pk,Bakery,3,17.2,0,0.0,43.0,18.92,critical
2025-12-12,3,GreenGrocer Central,Metro City,73,Tuna Steak 300g,Seafood,2,7.8,0,0.0,42.9,47.58,critical
2025-12-11,4,SuperSave East,Metro City,80,Croissants 4pk,Bakery,3,17.1,0,0.0,42.75,18.81,critical
2025-12-11,4,SuperSave East,Metro City,62,Pork Chops 500g,Meat,3,14.2,0,0.0,42.6,171.82,critical
